Ticker,Open_Price,High_Price,Low_Price,Close_Price,Previous_Close,Number_Of_Trades,Volume,Trade_Date
RELIANCE,2444,2466.1,2430.5,2458.95,2455.85,9265,127783,2021-12-10 00:00:00
RELIANCE,2431.1,2474.9,2425.45,2455.85,2417.4,12285,170477,2021-12-09 00:00:00
RELIANCE,2384,2405,2374.35,2397.7,2369.8,8800,100293,2021-12-28 00:00:00
RELIANCE,2470,2474.5,2405,2409.8,2458.95,26348,285664,2021-12-13 00:00:00
RELIANCE,2389,2406,2373.5,2380.4,2409.8,25831,286591,2021-12-14 00:00:00
RELIANCE,2384.85,2404.5,2361.75,2372.5,2380.4,23929,271038,2021-12-15 00:00:00
RELIANCE,2404,2414.5,2369,2404.45,2372.5,11495,147405,2021-12-16 00:00:00
RELIANCE,2395,2408.75,2320,2341.15,2404.45,47328,426622,2021-12-17 00:00:00
RELIANCE,2315,2320.9,2248,2277.2,2341.15,52446,1104898,2021-12-20 00:00:00
RELIANCE,2304.6,2345,2293,2310.1,2277.2,13319,165141,2021-12-21 00:00:00
RELIANCE,2314.5,2372,2314.5,2365.95,2310.1,16084,244736,2021-12-22 00:00:00
RELIANCE,2372,2380,2358.95,2364.65,2365.95,10406,127047,2021-12-23 00:00:00
RELIANCE,2367,2391.9,2337.65,2372.25,2364.65,11462,182225,2021-12-24 00:00:00
RELIANCE,2362.9,2377.75,2348.95,2369.8,2372.25,7777,79886,2021-12-27 00:00:00
RELIANCE,2391.9,2418.4,2382.45,2403.05,2397.7,11528,136021,2021-12-29 00:00:00
RELIANCE,2398,2405.25,2346,2356.45,2403.05,25736,395909,2021-12-30 00:00:00
RELIANCE,2370,2384.3,2360.05,2368.15,2356.45,12052,181300,2021-12-31 00:00:00
RELIANCE,2367.5,2408.95,2364.95,2404.35,2368.15,18762,272926,2022-01-03 00:00:00
RELIANCE,2410,2461.95,2403,2457.75,2404.35,29928,559316,2022-01-04 00:00:00
RELIANCE,2460.15,2476.3,2433,2466.05,2457.75,14968,256771,2022-01-05 00:00:00
RELIANCE,2454,2454,2409,2416.6,2466.05,17706,311647,2022-01-06 00:00:00
RELIANCE,2436,2457.65,2411.5,2435.95,2416.6,21284,371610,2022-01-07 00:00:00
RELIANCE,2453.95,2456.45,2416.55,2437.65,2435.95,17408,166454,2022-01-10 00:00:00
RELIANCE,2431.1,2474.1,2431.1,2454.9,2437.65,10869,334250,2022-01-11 00:00:00
RELIANCE,2472.45,2524.35,2465.4,2520.6,2454.9,16405,196309,2022-01-12 00:00:00
RELIANCE,2523.7,2540.95,2508.8,2535.35,2520.6,10302,272194,2022-01-13 00:00:00
RELIANCE,2530,2566.5,2525.8,2538.7,2535.35,20272,233864,2022-01-14 00:00:00
RELIANCE,2539.6,2565,2538.75,2552.3,2538.7,9595,102051,2022-01-17 00:00:00
RELIANCE,2553,2562.8,2515.5,2520.85,2552.3,20189,194301,2022-01-18 00:00:00
RELIANCE,2526.3,2541.65,2508.8,2521.4,2520.85,10802,132491,2022-01-19 00:00:00
RELIANCE,2497,2511.25,2455,2478.8,2521.4,12068,202569,2022-01-20 00:00:00
RELIANCE,2450.15,2501.95,2450.15,2478.1,2478.8,23410,320142,2022-01-21 00:00:00
RELIANCE,2478.1,2504.1,2352.7,2377.55,2478.1,55994,579337,2022-01-24 00:00:00
RELIANCE,2364.7,2388.6,2305.05,2373.7,2377.55,30843,439517,2022-01-25 00:00:00
RELIANCE,2345,2355.55,2312,2338.25,2373.7,35928,385697,2022-01-27 00:00:00
RELIANCE,2365,2372.4,2329,2335.4,2338.25,30836,2787192,2022-01-28 00:00:00
RELIANCE,2355,2406.35,2355,2386.35,2335.4,15173,185589,2022-01-31 00:00:00
RELIANCE,2410,2420.55,2347.65,2380.45,2386.35,19446,2496945,2022-02-01 00:00:00
RELIANCE,2410.4,2410.4,2376,2383.5,2380.45,21820,337670,2022-02-02 00:00:00
RELIANCE,2384,2401.55,2348,2352.7,2383.5,12835,136394,2022-02-03 00:00:00
RELIANCE,2349,2349.55,2322,2331.8,2352.7,18910,330454,2022-02-04 00:00:00
RELIANCE,2338,2356.8,2305.05,2317.65,2331.8,23783,1643527,2022-02-07 00:00:00
RELIANCE,2333,2359.95,2310,2355.6,2317.65,22714,1601702,2022-02-08 00:00:00
RELIANCE,2367.1,2386.6,2358.6,2383.95,2355.6,11903,1356126,2022-02-09 00:00:00
RELIANCE,2397.4,2397.4,2365,2379,2383.95,18011,226054,2022-02-10 00:00:00
RELIANCE,2374,2384,2343.95,2376.85,2379,12019,192243,2022-02-11 00:00:00
RELIANCE,2300,2354,2300,2338.8,2376.85,27415,310248,2022-02-14 00:00:00
RELIANCE,2352,2424,2335.85,2417.35,2338.8,34153,389799,2022-02-15 00:00:00
RELIANCE,2427.55,2432.05,2396,2412.35,2417.35,15405,241833,2022-02-16 00:00:00
RELIANCE,2418,2454.4,2410.5,2444.9,2412.35,16599,248666,2022-02-17 00:00:00
RELIANCE,2435,2456,2421,2424.15,2444.9,19583,242341,2022-02-18 00:00:00
RELIANCE,2414.9,2436.8,2385,2400.15,2424.15,19888,248274,2022-02-21 00:00:00
RELIANCE,2352,2395.7,2346.75,2388.2,2400.15,28331,388107,2022-02-22 00:00:00
RELIANCE,2398.6,2406.05,2367.9,2373.8,2388.2,12038,187278,2022-02-23 00:00:00
RELIANCE,2314,2339.85,2242.5,2255.6,2373.8,41625,550535,2022-02-24 00:00:00
RELIANCE,2275.6,2307,2275.6,2283.95,2255.6,21111,234948,2022-02-25 00:00:00
RELIANCE,2247.05,2367,2245,2359.1,2283.95,29272,361763,2022-02-28 00:00:00
RELIANCE,2349.1,2400.45,2331.1,2398.4,2359.1,16557,298733,2022-03-02 00:00:00
RELIANCE,2411,2414.45,2370,2378.2,2398.4,15479,232245,2022-03-03 00:00:00
RELIANCE,2355,2364.7,2320.55,2325.35,2378.2,16293,206310,2022-03-04 00:00:00
RELIANCE,2296,2311.85,2222.65,2239.95,2325.35,37375,577322,2022-03-07 00:00:00
RELIANCE,2205,2245.8,2181,2236.7,2239.95,53449,665930,2022-03-08 00:00:00
RELIANCE,2249,2366.7,2233.95,2353.8,2236.7,39356,430958,2022-03-09 00:00:00
RELIANCE,2415,2415,2360,2393.25,2353.8,29924,481296,2022-03-10 00:00:00
RELIANCE,2372,2410.4,2372,2398.5,2393.25,22834,292287,2022-03-11 00:00:00
RELIANCE,2394,2424.35,2375,2418.55,2398.5,19079,316063,2022-03-14 00:00:00
RELIANCE,2431.8,2431.8,2341.2,2363.45,2418.55,18178,412984,2022-03-15 00:00:00
RELIANCE,2387.95,2407.05,2376.45,2403.25,2363.45,20490,276207,2022-03-16 00:00:00
RELIANCE,2438,2496.9,2401.15,2479.65,2403.25,22523,286443,2022-03-17 00:00:00
RELIANCE,2452,2483.7,2442,2467.15,2479.65,16194,207916,2022-03-21 00:00:00
RELIANCE,2463.7,2535,2454,2531.1,2467.15,23179,304284,2022-03-22 00:00:00
RELIANCE,2526.2,2565,2526.2,2539.7,2531.1,17464,200221,2022-03-23 00:00:00
RELIANCE,2515,2583.5,2512.05,2577.9,2539.7,27709,327758,2022-03-24 00:00:00
RELIANCE,2577.9,2615,2577,2596.7,2577.9,18162,195991,2022-03-25 00:00:00
RELIANCE,2611,2629.15,2586.9,2621.65,2596.7,27520,342191,2022-03-28 00:00:00
RELIANCE,2637,2637,2608.2,2622.15,2621.65,12459,128043,2022-03-29 00:00:00
RELIANCE,2637.9,2688,2617.75,2673,2622.15,14817,154596,2022-03-30 00:00:00
RELIANCE,2673,2673,2628.9,2633.95,2673,19558,188426,2022-03-31 00:00:00
RELIANCE,2641.3,2664.8,2622.5,2654.45,2633.95,9693,84826,2022-04-01 00:00:00
RELIANCE,2657,2675,2644.25,2663.05,2654.45,13686,137978,2022-04-04 00:00:00
RELIANCE,2655,2668.85,2621.15,2625.4,2663.05,11736,112402,2022-04-05 00:00:00
RELIANCE,2588.65,2634.05,2588.6,2619.35,2625.4,11553,146948,2022-04-06 00:00:00
RELIANCE,2599.5,2603.25,2567,2571.75,2619.35,21253,244738,2022-04-07 00:00:00
RELIANCE,2563,2625,2562.6,2616.75,2571.75,13754,265594,2022-04-08 00:00:00
RELIANCE,2599,2638,2582.65,2609.8,2616.75,20192,209888,2022-04-11 00:00:00
RELIANCE,2588,2602.4,2556,2560.15,2609.8,14506,213157,2022-04-12 00:00:00
RELIANCE,2577,2592.9,2546,2552.45,2560.15,13210,156923,2022-04-13 00:00:00
RELIANCE,2530.25,2559.05,2522.6,2544.15,2552.45,20575,215288,2022-04-18 00:00:00
RELIANCE,2554.1,2667,2551.1,2638.45,2544.15,41628,545067,2022-04-19 00:00:00
RELIANCE,2655.75,2733.65,2650,2718.4,2638.45,28401,458162,2022-04-20 00:00:00
RELIANCE,2759,2788.8,2733.65,2782.15,2718.4,22285,280821,2022-04-21 00:00:00
RELIANCE,2765.05,2800.65,2743.85,2758.45,2782.15,25049,314673,2022-04-22 00:00:00
RELIANCE,2739.45,2758.35,2664.4,2694.85,2758.45,17003,208296,2022-04-25 00:00:00
RELIANCE,2708,2795.65,2708,2775.7,2694.85,19918,240951,2022-04-26 00:00:00
RELIANCE,2759.7,2827.1,2757,2777.9,2775.7,33414,389360,2022-04-27 00:00:00
RELIANCE,2815,2850,2786.3,2819.2,2777.9,21873,264655,2022-04-28 00:00:00
RELIANCE,2855,2855,2777.55,2790.8,2819.2,15802,202927,2022-04-29 00:00:00
RELIANCE,2755.5,2805,2755.5,2780.55,2790.8,21118,244590,2022-05-02 00:00:00
RELIANCE,2785,2785.15,2675.8,2693.15,2780.55,25838,3251053,2022-05-04 00:00:00
RELIANCE,2721,2729.65,2632,2640.75,2693.15,24796,355466,2022-05-05 00:00:00
RELIANCE,2640.75,2659.55,2594.6,2621.15,2640.75,21561,249708,2022-05-06 00:00:00
RELIANCE,2575,2597.2,2507.1,2517.15,2621.15,40031,394528,2022-05-09 00:00:00
RELIANCE,2499,2525.25,2459,2473.25,2517.15,18058,228368,2022-05-10 00:00:00
RELIANCE,2478.7,2485.05,2421.9,2449.75,2473.25,20980,269992,2022-05-11 00:00:00
RELIANCE,2419,2440,2370,2400.95,2449.75,39075,375949,2022-05-12 00:00:00
RELIANCE,2432,2478,2416.05,2428.05,2400.95,25989,290185,2022-05-13 00:00:00
RELIANCE,2432,2480.75,2416.45,2427.4,2428.05,21011,207222,2022-05-16 00:00:00
RELIANCE,2443,2540.4,2435,2530.7,2427.4,31564,336675,2022-05-17 00:00:00
RELIANCE,2539,2570,2508.3,2538.8,2530.7,21897,276653,2022-05-18 00:00:00
RELIANCE,2470,2511,2466.45,2479.2,2538.8,25314,728658,2022-05-19 00:00:00
RELIANCE,2515,2643,2503,2622.15,2479.2,21461,277207,2022-05-20 00:00:00
RELIANCE,2630,2653.75,2592.95,2605.95,2622.15,18465,278346,2022-05-23 00:00:00
RELIANCE,2624,2637.8,2598,2616,2605.95,13473,147965,2022-05-24 00:00:00
RELIANCE,2632.35,2655.8,2601.85,2611.15,2616,20206,248030,2022-05-25 00:00:00
RELIANCE,2618,2633.9,2547.7,2587.45,2611.15,15579,183889,2022-05-26 00:00:00
RELIANCE,2596.95,2605.55,2539.35,2575.2,2587.45,16761,199303,2022-05-27 00:00:00
RELIANCE,2619.8,2673,2594.85,2663.75,2575.2,21125,263592,2022-05-30 00:00:00
RELIANCE,2646,2678.75,2615.85,2633.9,2663.75,19983,590084,2022-05-31 00:00:00
RELIANCE,2632.35,2654.95,2616.1,2632.2,2633.9,11931,147783,2022-06-01 00:00:00
RELIANCE,2645,2732,2635.65,2724.5,2632.2,20363,299786,2022-06-02 00:00:00
RELIANCE,2746.95,2816.35,2740,2779.5,2724.5,42914,636698,2022-06-03 00:00:00
RELIANCE,2780.6,2813.75,2751.55,2766.9,2779.5,18674,275733,2022-06-06 00:00:00
RELIANCE,2764,2791,2754,2772.5,2766.9,10501,154819,2022-06-07 00:00:00
RELIANCE,2775.2,2782.1,2715.6,2724.3,2772.5,11639,186942,2022-06-08 00:00:00
RELIANCE,2709,2802,2709,2798.6,2724.3,19174,298046,2022-06-09 00:00:00
RELIANCE,2774.35,2790.05,2701.6,2714,2798.6,20034,246751,2022-06-10 00:00:00
RELIANCE,2653.8,2673.3,2616.4,2662.8,2714,14888,187994,2022-06-13 00:00:00
RELIANCE,2653,2670.15,2613.85,2627.35,2662.8,12611,152984,2022-06-14 00:00:00
RELIANCE,2610,2637.4,2585.1,2596.3,2627.35,11651,163116,2022-06-15 00:00:00
RELIANCE,2622,2658.6,2554.95,2559.2,2596.3,21527,282255,2022-06-16 00:00:00
RELIANCE,2532,2624.45,2532,2589.3,2559.2,19057,259291,2022-06-17 00:00:00
RELIANCE,2607,2618.1,2521.1,2542.8,2589.3,13241,141291,2022-06-20 00:00:00
RELIANCE,2552.4,2592.7,2529,2584.55,2542.8,12117,135235,2022-06-21 00:00:00
RELIANCE,2563,2563,2501,2505.2,2584.55,20228,191652,2022-06-22 00:00:00
RELIANCE,2520,2524.9,2446,2464.6,2505.2,38558,282095,2022-06-23 00:00:00
RELIANCE,2490,2510.95,2468.25,2500.75,2464.6,14141,182130,2022-06-24 00:00:00
RELIANCE,2549,2549,2482,2491.95,2500.75,15735,180405,2022-06-27 00:00:00
RELIANCE,2482.15,2535,2482.15,2529,2491.95,13180,127683,2022-06-28 00:00:00
RELIANCE,2504.35,2596.85,2501,2579.05,2529,28326,305035,2022-06-29 00:00:00
RELIANCE,2576,2615.8,2567.3,2594.05,2579.05,15613,209154,2022-06-30 00:00:00
RELIANCE,2580,2591.65,2365,2408.95,2594.05,78025,1078836,2022-07-01 00:00:00
RELIANCE,2388.8,2441.85,2367,2413.95,2408.95,55047,893090,2022-07-04 00:00:00
RELIANCE,2424.95,2464.65,2417.6,2433.2,2413.95,29443,435731,2022-07-05 00:00:00
RELIANCE,2425.05,2441.15,2387.4,2411.95,2433.2,19968,259341,2022-07-06 00:00:00
RELIANCE,2424.8,2433.9,2375.05,2387.65,2411.95,39916,452454,2022-07-07 00:00:00
RELIANCE,2414.9,2415.85,2383,2391.5,2387.65,15097,222410,2022-07-08 00:00:00
RELIANCE,2380,2428,2370.3,2423.2,2391.5,28512,805038,2022-07-11 00:00:00
RELIANCE,2411,2439,2403.9,2420.15,2423.2,13638,203047,2022-07-12 00:00:00
RELIANCE,2429,2433.95,2373,2377.3,2420.15,13890,185355,2022-07-13 00:00:00
RELIANCE,2389.7,2434.5,2377.5,2396.95,2377.3,17689,249673,2022-07-14 00:00:00
RELIANCE,2420,2420,2383.6,2401.55,2396.95,8334,105343,2022-07-15 00:00:00
